tax_id	abundance	lineage	estimated counts
338	0.11089831433574515	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;	18543.19624176561
105	0.015957116791796375	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;	2668.17354163948
4533	0.013609161555581699	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;rettgeri;	2275.5742945472603
7856	0.14258691505549945	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;ravenspurgense;	23841.815479515008
3884	0.0003043133189584098	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;oleronius;	50.883925749716745
27	0.0756360819906792	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	12647.033633579478
92	0.010308028273614047	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;	1723.5950996027311
4789	0.05701113775041186	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;galactosidilyticus;	9532.775332108617
5841	0.06623190261233866	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;ruris;	11074.570203906535
259	0.06312088516031023	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae;	10554.380086770312
12	0.015381809190173484	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;	2571.9769328797183
88	0.0010732868763702304	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;	179.46322531098986
2507	0.06442265745180858	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;mirabilis;	10772.048129859462
590	0.003389147359862378	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica;	566.6959408952284
1956	0.03309643528865777	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;	5534.021848181177
5203	0.0010884963659939394	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;striatum;	182.00638886148062
4462	0.002646886373059315	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;	442.583223552875
2892	0.0025695549893247484	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;variicola;	429.65272021000186
1532	0.0050046002265117535	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;hirae;	836.8141992748037
249	0.05075583261222234	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;	8486.832015257085
10975	0.014594899442765263	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;salitolerans;	2440.398540925337
477	0.0015414837476357256	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;licheniformis;	257.74995595842205
6269	0.00017049156371208847	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia;	28.5077238767346
2725	0.0047051671540464446	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;casseliflavus;	786.746294660952
356	0.003080620793230213	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis;	515.1075222152307
13	0.014040532488889795	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;	2347.7033969347735
635	0.01146614164562328	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;	1917.242078423023
106	0.003115063605552803	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	520.8666704208787
3843	0.0006088984418288874	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;thalpophilum;	101.81329955976642
671	0.0017300973609011127	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Glutamicibacter;	289.28784961891415
2744	0.010282812069702317	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;gallinarum;	1719.3787233628548
809	0.017907556513203124	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;	2994.304617016181
4731	0.00013875394809232582	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;	23.20090890656971
3210	0.00035636854683028524	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;jeikeium;	59.588028346945165
3335	0.0007003953650046974	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;xerosis;	117.11240858707045
3539	0.0005540975820642957	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Schleiferilactobacillus;	92.65010259938882
8923	0.009794194010874417	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;album;	1637.6773863643004
848	0.010353077737687523	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecium;	1731.127775440993
76	0.00021834158392230104	Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;	36.50867790606404
